DATE,DPRIME
2008-07-01,5.0000000000000000
2008-08-01,5.0000000000000000
2008-09-01,5.0000000000000000
2008-10-01,4.5454545454545455
2008-11-01,4.0000000000000000
2008-12-01,3.6086956521739130
2009-01-01,3.2500000000000000
2009-02-01,3.2500000000000000
2009-03-01,3.2500000000000000
2009-04-01,3.2500000000000000
2009-05-01,3.2500000000000000
2009-06-01,3.2500000000000000
2009-07-01,3.2500000000000000
2009-08-01,3.2500000000000000
2009-09-01,3.2500000000000000
2009-10-01,3.2500000000000000
2009-11-01,3.2500000000000000
2009-12-01,3.2500000000000000
2010-01-01,3.2500000000000000
2010-02-01,3.2500000000000000
2010-03-01,3.2500000000000000
2010-04-01,3.2500000000000000
2010-05-01,3.2500000000000000
2010-06-01,3.2500000000000000
2010-07-01,3.2500000000000000
